year,race,driver,position,probability
2024,Austria,HUL,5,1.41
2024,Austria,HUL,6,6.2
2024,Austria,HUL,7,0.22
2024,Austria,HUL,8,1.23
2024,Austria,HUL,9,9.48
2024,Austria,HUL,10,1.76
2024,Austria,HUL,11,4.59
2024,Austria,HUL,12,6.82
2024,Austria,HUL,13,14.2
2024,Austria,HUL,14,3.23
2024,Austria,HUL,15,7.31
2024,Austria,HUL,16,5.37
2024,Austria,HUL,17,2.42
2024,Austria,HUL,18,1.29
2024,Austria,HUL,19,8.64
2024,Austria,HUL,20,0.17
2024,Austria,PER,1,2.47
2024,Austria,PER,2,4.66
2024,Austria,PER,3,17.99
2024,Austria,PER,4,1.15
2024,Austria,PER,5,1.36
2024,Austria,PER,6,5.37
2024,Austria,PER,7,0.22
2024,Austria,PER,8,1.15
2024,Austria,PER,9,9.41
2024,Austria,PER,10,1.72
2024,Austria,PER,11,4.02
2024,Austria,PER,12,5.89
2024,Austria,PER,13,18.6
2024,Austria,PER,14,4.06
2024,Austria,PER,15,5.8
2024,Austria,PER,16,4.12
2024,Austria,PER,17,4.95
2024,Austria,PER,18,1.17
2024,Austria,PER,19,5.76
2024,Austria,PER,20,0.16
2024,Austria,MAG,1,2.47
2024,Austria,MAG,2,5.14
2024,Austria,MAG,3,16.79
2024,Austria,MAG,4,1.29
2024,Austria,MAG,5,1.41
2024,Austria,MAG,6,6.2
2024,Austria,MAG,7,0.22
2024,Austria,MAG,8,1.23
2024,Austria,MAG,9,9.48
2024,Austria,MAG,10,1.76
2024,Austria,MAG,11,4.59
2024,Austria,MAG,12,6.82
2024,Austria,MAG,13,14.2
2024,Austria,MAG,14,3.23
2024,Austria,MAG,15,7.31
2024,Austria,MAG,16,5.37
2024,Austria,MAG,17,2.42
2024,Austria,MAG,18,1.29
2024,Austria,MAG,19,8.64
2024,Austria,MAG,20,0.17
2024,Austria,RIC,1,2.47
2024,Austria,RIC,2,5.14
2024,Austria,RIC,3,16.79
2024,Austria,RIC,4,1.29
2024,Austria,RIC,5,1.41
2024,Austria,RIC,6,6.2
2024,Austria,RIC,7,0.22
2024,Austria,RIC,8,1.89
2024,Austria,RIC,9,9.48
2024,Austria,RIC,10,1.76
2024,Austria,RIC,11,4.59
2024,Austria,RIC,12,6.82
2024,Austria,RIC,13,13.54
2024,Austria,RIC,14,3.23
2024,Austria,RIC,15,7.31
2024,Austria,RIC,16,5.37
2024,Austria,RIC,17,2.42
2024,Austria,RIC,18,1.29
2024,Austria,RIC,19,8.64
2024,Austria,RIC,20,0.17
2024,Austria,GAS,1,0.04
2024,Austria,GAS,2,7.14
2024,Austria,GAS,3,2.28
2024,Austria,GAS,4,1.6
2024,Austria,GAS,5,6.41
2024,Austria,GAS,6,3.88
2024,Austria,GAS,7,0.54
2024,Austria,GAS,8,4.27
2024,Austria,GAS,9,29.84
2024,Austria,GAS,10,7.49
2024,Austria,GAS,11,2.29
2024,Austria,GAS,12,17.43
2024,Austria,GAS,13,6.26
2024,Austria,GAS,14,3.01
2024,Austria,GAS,15,1.37
2024,Austria,GAS,16,0.26
2024,Austria,GAS,17,1.79
2024,Austria,GAS,18,3.6
2024,Austria,GAS,19,0.52
2024,Austria,GAS,20,0.01
2024,Austria,LEC,1,0.33
2024,Austria,LEC,2,26.99
2024,Austria,LEC,3,1.69
2024,Austria,LEC,4,19.56
2024,Austria,LEC,5,8.67
2024,Austria,LEC,6,16.77
2024,Austria,LEC,7,0.78
2024,Austria,LEC,8,3.03
2024,Austria,LEC,9,2.37
2024,Austria,LEC,10,10.76
2024,Austria,LEC,11,0.02
2024,Austria,LEC,12,2.11
2024,Austria,LEC,13,0.1
2024,Austria,LEC,14,0.56
2024,Austria,LEC,15,0.01
2024,Austria,LEC,16,0.01
2024,Austria,LEC,17,0.02
2024,Austria,LEC,18,6.19
2024,Austria,LEC,19,0.02
2024,Austria,LEC,20,0.0
2024,Austria,OCO,1,0.04
2024,Austria,OCO,2,7.14
2024,Austria,OCO,3,2.28
2024,Austria,OCO,4,1.6
2024,Austria,OCO,5,6.41
2024,Austria,OCO,6,3.88
2024,Austria,OCO,7,0.54
2024,Austria,OCO,8,4.27
2024,Austria,OCO,9,29.84
2024,Austria,OCO,10,7.49
2024,Austria,OCO,11,2.29
2024,Austria,OCO,12,17.43
2024,Austria,OCO,13,5.93
2024,Austria,OCO,14,3.01
2024,Austria,OCO,15,1.37
2024,Austria,OCO,16,0.26
2024,Austria,OCO,17,2.12
2024,Austria,OCO,18,3.6
2024,Austria,OCO,19,0.52
2024,Austria,OCO,20,0.01
2024,Austria,STR,1,0.01
2024,Austria,STR,2,8.71
2024,Austria,STR,3,1.6
2024,Austria,STR,4,1.02
2024,Austria,STR,5,14.34
2024,Austria,STR,6,8.78
2024,Austria,STR,7,0.17
2024,Austria,STR,8,1.93
2024,Austria,STR,9,6.14
2024,Austria,STR,10,18.81
2024,Austria,STR,11,3.01
2024,Austria,STR,12,11.19
2024,Austria,STR,13,3.46
2024,Austria,STR,14,8.56
2024,Austria,STR,15,1.01
2024,Austria,STR,16,0.49
2024,Austria,STR,17,1.1
2024,Austria,STR,18,8.42
2024,Austria,STR,19,1.24
2024,Austria,STR,20,0.01
2024,Austria,TSU,1,0.9
2024,Austria,TSU,2,2.97
2024,Austria,TSU,3,6.17
2024,Austria,TSU,4,1.25
2024,Austria,TSU,5,0.78
2024,Austria,TSU,6,7.28
2024,Austria,TSU,7,0.31
2024,Austria,TSU,8,1.55
2024,Austria,TSU,9,1.46
2024,Austria,TSU,10,1.11
2024,Austria,TSU,11,6.84
2024,Austria,TSU,12,11.62
2024,Austria,TSU,13,20.28
2024,Austria,TSU,14,4.55
2024,Austria,TSU,15,10.69
2024,Austria,TSU,16,5.16
2024,Austria,TSU,17,3.94
2024,Austria,TSU,18,1.73
2024,Austria,TSU,19,11.16
2024,Austria,TSU,20,0.25
2024,Austria,ALB,1,0.9
2024,Austria,ALB,2,2.97
2024,Austria,ALB,3,6.17
2024,Austria,ALB,4,1.25
2024,Austria,ALB,5,0.78
2024,Austria,ALB,6,7.28
2024,Austria,ALB,7,0.31
2024,Austria,ALB,8,2.21
2024,Austria,ALB,9,1.46
2024,Austria,ALB,10,1.11
2024,Austria,ALB,11,6.84
2024,Austria,ALB,12,11.62
2024,Austria,ALB,13,19.62
2024,Austria,ALB,14,4.55
2024,Austria,ALB,15,10.69
2024,Austria,ALB,16,5.16
2024,Austria,ALB,17,3.94
2024,Austria,ALB,18,1.73
2024,Austria,ALB,19,11.16
2024,Austria,ALB,20,0.25
2024,Austria,BOT,1,0.9
2024,Austria,BOT,2,2.97
2024,Austria,BOT,3,6.17
2024,Austria,BOT,4,1.25
2024,Austria,BOT,5,0.78
2024,Austria,BOT,6,7.28
2024,Austria,BOT,7,0.31
2024,Austria,BOT,8,2.21
2024,Austria,BOT,9,1.46
2024,Austria,BOT,10,1.11
2024,Austria,BOT,11,6.84
2024,Austria,BOT,12,11.62
2024,Austria,BOT,13,19.62
2024,Austria,BOT,14,4.55
2024,Austria,BOT,15,10.69
2024,Austria,BOT,16,5.16
2024,Austria,BOT,17,3.94
2024,Austria,BOT,18,1.73
2024,Austria,BOT,19,11.16
2024,Austria,BOT,20,0.25
2024,Austria,ZHO,1,0.9
2024,Austria,ZHO,2,2.97
2024,Austria,ZHO,3,6.17
2024,Austria,ZHO,4,1.25
2024,Austria,ZHO,5,0.78
2024,Austria,ZHO,6,7.28
2024,Austria,ZHO,7,0.31
2024,Austria,ZHO,8,2.21
2024,Austria,ZHO,9,1.46
2024,Austria,ZHO,10,1.11
2024,Austria,ZHO,11,6.84
2024,Austria,ZHO,12,11.62
2024,Austria,ZHO,13,19.62
2024,Austria,ZHO,14,4.55
2024,Austria,ZHO,15,10.69
2024,Austria,ZHO,16,5.16
2024,Austria,ZHO,17,3.94
2024,Austria,ZHO,18,1.73
2024,Austria,ZHO,19,11.16
2024,Austria,ZHO,20,0.25
2024,Austria,ALO,1,1.67
2024,Austria,ALO,2,10.83
2024,Austria,ALO,3,12.39
2024,Austria,ALO,4,5.52
2024,Austria,ALO,5,5.54
2024,Austria,ALO,6,20.8
2024,Austria,ALO,7,1.17
2024,Austria,ALO,8,1.57
2024,Austria,ALO,9,4.94
2024,Austria,ALO,10,13.93
2024,Austria,ALO,11,0.23
2024,Austria,ALO,12,2.25
2024,Austria,ALO,13,1.98
2024,Austria,ALO,14,1.18
2024,Austria,ALO,15,0.01
2024,Austria,ALO,16,1.07
2024,Austria,ALO,17,0.81
2024,Austria,ALO,18,14.05
2024,Austria,ALO,19,0.04
2024,Austria,ALO,20,0.0
2024,Austria,SAR,1,1.19
2024,Austria,SAR,2,3.41
2024,Austria,SAR,3,4.54
2024,Austria,SAR,4,2.23
2024,Austria,SAR,5,0.85
2024,Austria,SAR,6,4.81
2024,Austria,SAR,7,0.38
2024,Austria,SAR,8,2.15
2024,Austria,SAR,9,1.49
2024,Austria,SAR,10,1.2
2024,Austria,SAR,11,6.09
2024,Austria,SAR,12,11.0
2024,Austria,SAR,13,15.23
2024,Austria,SAR,14,6.96
2024,Austria,SAR,15,13.9
2024,Austria,SAR,16,5.75
2024,Austria,SAR,17,4.96
2024,Austria,SAR,18,2.79
2024,Austria,SAR,19,10.81
2024,Austria,SAR,20,0.25
2024,Austria,NOR,1,0.67
2024,Austria,NOR,2,8.25
2024,Austria,NOR,3,4.65
2024,Austria,NOR,4,2.52
2024,Austria,NOR,5,4.53
2024,Austria,NOR,6,3.37
2024,Austria,NOR,7,0.28
2024,Austria,NOR,8,1.98
2024,Austria,NOR,9,11.19
2024,Austria,NOR,10,10.69
2024,Austria,NOR,11,13.82
2024,Austria,NOR,12,10.85
2024,Austria,NOR,13,4.84
2024,Austria,NOR,14,8.68
2024,Austria,NOR,15,0.86
2024,Austria,NOR,16,1.11
2024,Austria,NOR,17,5.19
2024,Austria,NOR,18,6.27
2024,Austria,NOR,19,0.27
2024,Austria,NOR,20,0.01
